deployment level,mach,cd
0,0,0
0, 0.05, 0
0, 0.1, 0
0, 0.15, 0
0, 0.2, 0
0, 0.25, 0
0, 0.3, 0
0, 0.35, 0
0, 0.4, 0
0, 0.45, 0
0, 0.5, 0
0, 0.55, 0
0, 0.6, 0
0, 0.65, 0
0, 0.7, 0
0, 0.75, 0
0, 0.8, 0
0, 0.85, 0
0, 0.9, 0
0, 0.95, 0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
0.25, 0.1, 0.444486249
0.25, 0.2, 0.417785388
0.25, 0.3, 0.406705275
0.25, 0.4, 0.409961944
0.25, 0.5, 0.409147947
0.25, 0.6, 0.411546029
0.25, 0.7, 0.407979926
0.25, 0.8, 0.413460626
0.25, 0.9, 0.408190137
0.5, 0.1, 0.507960781
0.5, 0.2, 0.483700124
0.5, 0.3, 0.479774019
0.5, 0.3, 0.479198954
0.5, 0.4, 0.483454287
0.5, 0.5, 0.484154172
0.5, 0.6, 0.491932723
0.5, 0.7, 0.503072477
0.5, 0.8, 0.510126955
0.75, 0.1, 0.544841711
0.75, 0.2, 0.525607668
0.75, 0.3, 0.52385219
0.75, 0.4, 0.522773668
0.75, 0.5 ,0.528634803
0.75, 0.6, 0.537079146
0.75, 0.7, 0.543695454
0.75, 0.8, 0.55774353
0.75, 0.9, 0.572806033
1, 0.1, 0.594581464
1, 0.2, 0.571021268
1, 0.3, 0.568730609
1, 0.4, 0.570856452
1, 0.5, 0.578541851
1, 0.6, 0.587973526
1, 0.7, 0.598682104
1, 0.8, 0.611637741
1, 0.9, 0.627439726
